time,"ADC0","ADC1"
"2018-09-24 21:50:56.009323",1334,1341,
"2018-09-24 21:55:56.059001",1334,1341,
"2018-09-24 22:00:56.120598",1334,1341,
"2018-09-24 22:05:56.184084",1334,1341,
"2018-09-24 22:10:56.277916",1334,1341,
"2018-09-24 22:15:56.361006",1334,1341,
"2018-09-24 22:20:56.531827",1334,1341,
"2018-09-24 22:25:56.570180",1334,1341,
"2018-09-24 22:30:56.630348",1334,1341,
"2018-09-24 22:35:56.650119",1334,1341,
"2018-09-24 22:40:56.681726",1334,1341,
"2018-09-24 22:45:56.744129",1334,1341,
"2018-09-24 22:50:56.823642",1334,1341,
"2018-09-24 22:55:56.836823",1334,1341,
"2018-09-24 23:00:56.945823",1334,1341,
"2018-09-24 23:05:55.938729",1334,1341,
"2018-09-24 23:10:56.007752",1334,1341,
"2018-09-24 23:15:56.060151",1334,1341,
"2018-09-24 23:20:56.282796",1334,1341,
"2018-09-24 23:25:56.366571",1334,1341,
"2018-09-24 23:30:56.408716",1334,1341,
"2018-09-24 23:35:56.424556",1334,1341,
"2018-09-24 23:40:56.440470",1334,1341,
"2018-09-24 23:45:56.520457",1334,1341,
"2018-09-24 23:50:56.546451",1334,1341,
"2018-09-24 23:55:56.562201",1334,1341,
"2018-09-25 00:00:56.602813",1334,1341,
"2018-09-25 00:05:56.692938",1334,1341,
"2018-09-25 00:10:56.755099",1334,1341,
"2018-09-25 00:15:56.873335",1334,1341,
"2018-09-25 00:20:56.070158",1334,1341,
"2018-09-25 00:25:56.133532",1334,1341,
"2018-09-25 00:30:56.216241",1334,1341,
"2018-09-25 00:35:56.276264",1334,1341,
"2018-09-25 00:40:56.353706",1335,1341,
"2018-09-25 00:45:56.370437",1335,1341,
"2018-09-25 00:50:56.448650",1335,1341,
"2018-09-25 00:55:56.525175",1335,1341,
"2018-09-25 01:00:56.576481",1335,1341,
"2018-09-25 01:05:56.634270",1335,1341,
"2018-09-25 01:10:56.696357",1335,1341,
"2018-09-25 01:15:56.725879",1335,1341,
"2018-09-25 01:20:56.974824",1335,1341,
"2018-09-25 01:25:56.038825",1335,1341,
"2018-09-25 01:30:56.102923",1335,1341,
"2018-09-25 01:35:56.171666",1335,1341,
"2018-09-25 01:40:56.251553",1335,1341,
"2018-09-25 01:45:56.308493",1335,1341,
"2018-09-25 01:50:56.428009",1335,1341,
"2018-09-25 01:55:56.491738",1335,1341,
"2018-09-25 02:00:56.589190",1335,1341,
"2018-09-25 02:05:56.666616",1335,1341,
"2018-09-25 02:10:56.734386",1335,1341,
"2018-09-25 02:15:56.804552",1335,1341,
"2018-09-25 02:20:55.995734",1335,1341,
"2018-09-25 02:25:56.063318",1335,1341,
"2018-09-25 02:30:56.159235",1335,1341,
"2018-09-25 02:35:56.228958",1335,1341,
"2018-09-25 02:40:56.291582",1335,1341,
"2018-09-25 02:45:56.314223",1335,1341,
"2018-09-25 02:50:56.356922",1335,1341,
"2018-09-25 02:55:56.395047",1335,1341,
"2018-09-25 03:00:56.456468",1335,1341,
"2018-09-25 03:05:56.573552",1335,1341,
"2018-09-25 03:10:56.655828",1335,1341,
"2018-09-25 03:15:56.780097",1335,1341,
"2018-09-25 03:20:56.023726",1335,1341,
"2018-09-25 03:25:56.108127",1335,1341,
"2018-09-25 03:30:56.143739",1335,1341,
"2018-09-25 03:35:56.212269",1335,1341,
"2018-09-25 03:40:56.261667",1335,1341,
"2018-09-25 03:45:56.332285",1335,1341,
"2018-09-25 03:50:56.422196",1332,1341,
"2018-09-25 03:55:56.518909",1332,1341,
"2018-09-25 04:00:56.603892",1332,1341,
"2018-09-25 04:05:56.780518",1332,1341,
"2018-09-25 04:10:56.845327",1332,1341,
"2018-09-25 04:15:56.875674",1332,1341,
"2018-09-25 04:20:56.095351",1332,1341,
"2018-09-25 04:25:56.106347",1332,1341,
"2018-09-25 04:30:56.186513",1332,1341,
"2018-09-25 04:35:56.265791",1332,1341,
"2018-09-25 04:40:56.332797",1332,1341,
"2018-09-25 04:45:56.361790",1331,1341,
"2018-09-25 04:50:56.445744",1332,1341,
"2018-09-25 04:55:56.524408",1332,1341,
"2018-09-25 05:00:56.599467",1332,1341,
"2018-09-25 05:05:56.624064",1332,1341,
"2018-09-25 05:10:56.677888",1332,1341,
"2018-09-25 05:15:56.680358",1332,1341,
"2018-09-25 05:20:56.913342",1332,1341,
"2018-09-25 05:25:55.995981",1332,1341,
"2018-09-25 05:30:56.090280",1332,1341,
"2018-09-25 05:35:56.116336",1332,1341,
"2018-09-25 05:40:56.145712",1332,1341,
"2018-09-25 05:45:56.200203",1332,1341,
"2018-09-25 05:50:56.244570",1332,1341,
"2018-09-25 05:55:56.329471",1332,1341,
"2018-09-25 06:00:56.449504",1332,1341,
"2018-09-25 06:05:56.505200",1332,1341,
"2018-09-25 06:10:56.579428",1332,1341,
"2018-09-25 06:15:56.612282",1332,1341,
"2018-09-25 06:20:56.790393",1332,1341,
"2018-09-25 06:25:57.380789",1332,1341,
"2018-09-25 06:30:56.454123",1332,1341,
"2018-09-25 06:35:56.507715",1333,1341,
"2018-09-25 06:40:56.605327",1333,1341,
"2018-09-25 06:45:56.635153",1333,1341,
"2018-09-25 06:50:56.719490",1333,1341,
"2018-09-25 06:55:56.772743",1333,1341,
"2018-09-25 07:00:56.820180",1333,1341,
"2018-09-25 07:05:56.910411",1333,1341,
"2018-09-25 07:10:55.976528",1333,1341,
"2018-09-25 07:15:56.021801",1333,1341,
"2018-09-25 07:20:56.246728",1333,1341,
"2018-09-25 07:25:56.318987",1333,1341,
"2018-09-25 07:30:56.375159",1333,1341,
"2018-09-25 07:35:56.452900",1333,1341,
"2018-09-25 07:40:56.590490",1333,1341,
"2018-09-25 07:45:56.615012",1333,1341,
"2018-09-25 07:50:56.687970",1333,1341,
"2018-09-25 07:55:56.785879",1333,1341,
"2018-09-25 08:00:56.837882",1333,1341,
"2018-09-25 08:05:56.890142",1333,1341,
"2018-09-25 08:10:56.946103",1333,1341,
"2018-09-25 08:15:56.025388",1333,1341,
"2018-09-25 08:20:56.198094",1333,1341,
"2018-09-25 08:25:56.237661",1333,1341,
"2018-09-25 08:30:56.315689",1333,1341,
"2018-09-25 08:35:56.425877",1333,1341,
"2018-09-25 08:40:56.444510",1333,1341,
"2018-09-25 08:45:56.507879",1333,1341,
"2018-09-25 08:50:56.555993",1333,1341,
"2018-09-25 08:55:56.650812",1333,1341,
"2018-09-25 09:00:56.732030",1333,1341,
"2018-09-25 09:05:56.792783",1333,1341,
"2018-09-25 09:10:56.846391",1334,1341,
"2018-09-25 09:15:56.940102",1334,1341,
"2018-09-25 09:20:56.179109",1334,1341,
"2018-09-25 09:25:56.206439",1334,1341,
"2018-09-25 09:30:56.224259",1334,1341,
"2018-09-25 09:35:56.282720",1334,1341,
"2018-09-25 09:40:56.400149",1334,1341,
"2018-09-25 09:45:56.461825",1334,1341,
"2018-09-25 09:50:56.492779",1334,1341,
"2018-09-25 09:55:56.571281",1334,1341,
"2018-09-25 10:00:56.637967",1334,1341,
"2018-09-25 10:05:56.719051",1334,1341,
"2018-09-25 10:10:56.795331",1334,1341,
"2018-09-25 10:15:56.866304",1334,1341,
"2018-09-25 10:20:56.085648",1334,1341,
"2018-09-25 10:25:56.188853",1335,1341,
"2018-09-25 10:30:56.262915",1335,1341,
"2018-09-25 10:35:56.346644",1335,1341,
"2018-09-25 10:40:56.468031",1335,1341,
"2018-09-25 10:45:56.542950",1335,1341,
"2018-09-25 10:50:56.604157",1335,1341,
"2018-09-25 10:55:56.635804",1335,1341,
"2018-09-25 11:00:56.765868",1335,1341,
"2018-09-25 11:05:56.849211",1335,1341,
"2018-09-25 11:10:56.960378",1335,1341,
"2018-09-25 11:15:55.986303",1335,1341,
"2018-09-25 11:20:56.245949",1335,1341,
"2018-09-25 11:25:56.330541",1335,1341,
"2018-09-25 11:30:56.396380",1335,1341,
"2018-09-25 11:35:56.480278",1335,1341,
"2018-09-25 11:40:56.539062",1335,1341,
"2018-09-25 11:45:56.574381",1335,1341,
"2018-09-25 11:50:56.656532",1335,1341,
"2018-09-25 11:55:56.723312",1335,1341,
"2018-09-25 12:00:56.819159",1335,1341,
"2018-09-25 12:05:56.901804",1335,1341,
"2018-09-25 12:10:55.984187",1335,1341,
"2018-09-25 12:15:56.061842",1335,1341,
"2018-09-25 12:20:56.296400",1335,1341,
"2018-09-25 12:25:56.376978",1335,1341,
"2018-09-25 12:30:56.398513",1335,1341,
"2018-09-25 12:35:56.435192",1335,1341,
"2018-09-25 12:40:56.481782",1335,1341,
"2018-09-25 12:45:56.550481",1335,1341,
"2018-09-25 12:50:56.612950",1335,1341,
"2018-09-25 12:55:56.652796",1335,1341,
"2018-09-25 13:00:56.710368",1335,1341,
"2018-09-25 13:05:56.786484",1335,1341,
